"year","ISO","total_best","conflict_flag"
2006,"FRA",0,0
2007,"FRA",0,0
2008,"FRA",2,0
2009,"FRA",0,0
2010,"FRA",0,0
2011,"FRA",0,0
2012,"FRA",0,0
2013,"FRA",4,0
2014,"FRA",0,0
2015,"FRA",0,0
2016,"FRA",133,1
2017,"FRA",87,1
2018,"FRA",2,0
2019,"FRA",13,0
2000,"FSM",0,0
2001,"FSM",0,0
2002,"FSM",0,0
2003,"FSM",0,0
2004,"FSM",0,0
2005,"FSM",0,0
2006,"FSM",0,0
2007,"FSM",0,0
2008,"FSM",0,0
2009,"FSM",0,0
2010,"FSM",0,0
2011,"FSM",0,0
2012,"FSM",0,0
2013,"FSM",0,0
2014,"FSM",0,0
2015,"FSM",0,0
2016,"FSM",0,0
2017,"FSM",0,0
2018,"FSM",0,0
2019,"FSM",0,0
2000,"GAB",0,0
2001,"GAB",0,0
2002,"GAB",0,0
2003,"GAB",0,0
2004,"GAB",0,0
2005,"GAB",0,0
2006,"GAB",0,0
2007,"GAB",0,0
2008,"GAB",0,0
2009,"GAB",0,0
2010,"GAB",0,0
2011,"GAB",0,0
2012,"GAB",0,0
2013,"GAB",0,0
2014,"GAB",0,0
2015,"GAB",0,0
2016,"GAB",0,0
2017,"GAB",0,0
2018,"GAB",0,0
2019,"GAB",0,0
2000,"GBR",0,0
2001,"GBR",1,0
2002,"GBR",1,0
2003,"GBR",3,0
2004,"GBR",1,0
2005,"GBR",1,0
2006,"GBR",53,1
2007,"GBR",0,0
2008,"GBR",0,0
2009,"GBR",0,0
2010,"GBR",2,0
2011,"GBR",0,0
2012,"GBR",1,0
2013,"GBR",0,0
2014,"GBR",0,0
2015,"GBR",0,0
2016,"GBR",0,0
2017,"GBR",0,0
2018,"GBR",0,0
2019,"GBR",0,0
2000,"GEO",0,0
2001,"GEO",0,0
2002,"GEO",0,0
2003,"GEO",0,0
2004,"GEO",0,0
2005,"GEO",27,1
2006,"GEO",0,0
2007,"GEO",0,0
2008,"GEO",0,0
2009,"GEO",621,1
2010,"GEO",0,0
2011,"GEO",3,0
2012,"GEO",0,0
2013,"GEO",0,0
2014,"GEO",0,0
2015,"GEO",0,0
2016,"GEO",0,0
2017,"GEO",0,0
2018,"GEO",0,0
2019,"GEO",0,0
2000,"GHA",0,0
2001,"GHA",30,1
2002,"GHA",50,1
2003,"GHA",36,1
2004,"GHA",0,0
2005,"GHA",0,0
2006,"GHA",0,0
2007,"GHA",0,0
2008,"GHA",0,0
2009,"GHA",55,1
2010,"GHA",8,0
2011,"GHA",1,0
2012,"GHA",0,0
2013,"GHA",0,0
2014,"GHA",0,0
2015,"GHA",0,0
2016,"GHA",0,0
2017,"GHA",0,0
2018,"GHA",0,0
2019,"GHA",0,0
2000,"GIN",13,0
2001,"GIN",256,1
2002,"GIN",430,1
2003,"GIN",0,0
2004,"GIN",0,0
2005,"GIN",0,0
2006,"GIN",3,0
2007,"GIN",15,0
2008,"GIN",45,1
2009,"GIN",0,0
2010,"GIN",160,1
2011,"GIN",1,0
2012,"GIN",25,1
2013,"GIN",9,0
2014,"GIN",98,1
2015,"GIN",0,0
2016,"GIN",3,0
2017,"GIN",0,0
2018,"GIN",0,0
2019,"GIN",0,0
2000,"GMB",0,0
2001,"GMB",0,0
2002,"GMB",0,0
2003,"GMB",0,0
2004,"GMB",0,0
2005,"GMB",1,0
2006,"GMB",8,0
2007,"GMB",0,0
2008,"GMB",0,0
2009,"GMB",0,0
2010,"GMB",0,0
2011,"GMB",0,0
2012,"GMB",0,0
2013,"GMB",1,0
2014,"GMB",0,0
2015,"GMB",0,0
2016,"GMB",0,0
2017,"GMB",0,0
2018,"GMB",0,0
2019,"GMB",0,0
2000,"GNB",199,1
2001,"GNB",0,0
2002,"GNB",0,0
2003,"GNB",0,0
2004,"GNB",0,0
2005,"GNB",0,0
2006,"GNB",0,0
2007,"GNB",0,0
2008,"GNB",0,0
2009,"GNB",0,0
2010,"GNB",0,0
2011,"GNB",0,0
2012,"GNB",0,0
2013,"GNB",0,0
2014,"GNB",0,0
2015,"GNB",0,0
2016,"GNB",0,0
2017,"GNB",0,0
2018,"GNB",0,0
2019,"GNB",0,0
2000,"GNQ",0,0
2001,"GNQ",0,0
2002,"GNQ",0,0
2003,"GNQ",0,0
2004,"GNQ",0,0
2005,"GNQ",0,0
2006,"GNQ",0,0
2007,"GNQ",0,0
2008,"GNQ",0,0
2009,"GNQ",0,0
2010,"GNQ",0,0
2011,"GNQ",0,0
2012,"GNQ",0,0
2013,"GNQ",0,0
2014,"GNQ",0,0
2015,"GNQ",0,0
2016,"GNQ",0,0
2017,"GNQ",0,0
2018,"GNQ",0,0
2019,"GNQ",0,0
2000,"GRC",0,0
2001,"GRC",0,0
2002,"GRC",0,0
2003,"GRC",0,0
2004,"GRC",0,0
2005,"GRC",0,0
2006,"GRC",0,0
2007,"GRC",0,0
2008,"GRC",0,0
2009,"GRC",0,0
2010,"GRC",0,0
2011,"GRC",0,0
2012,"GRC",0,0
2013,"GRC",0,0
2014,"GRC",0,0
2015,"GRC",0,0
2016,"GRC",0,0
2017,"GRC",0,0
2018,"GRC",0,0
2019,"GRC",0,0
2000,"GRD",0,0
2001,"GRD",0,0
2002,"GRD",0,0
2003,"GRD",0,0
2004,"GRD",0,0
2005,"GRD",0,0
2006,"GRD",0,0
2007,"GRD",0,0
2008,"GRD",0,0
2009,"GRD",0,0
2010,"GRD",0,0
2011,"GRD",0,0
2012,"GRD",0,0
2013,"GRD",0,0
2014,"GRD",0,0
2015,"GRD",0,0
2016,"GRD",0,0
2017,"GRD",0,0
2018,"GRD",0,0
2019,"GRD",0,0
2000,"GTM",0,0
2001,"GTM",0,0
2002,"GTM",5,0
2003,"GTM",2,0
2004,"GTM",0,0
2005,"GTM",1,0
2006,"GTM",58,1
2007,"GTM",0,0
2008,"GTM",5,0
2009,"GTM",41,1
2010,"GTM",1,0
2011,"GTM",0,0
2012,"GTM",27,1
2013,"GTM",0,0
2014,"GTM",0,0
2015,"GTM",0,0
2016,"GTM",20,0
2017,"GTM",0,0
2018,"GTM",0,0
2019,"GTM",0,0
2000,"GUY",0,0
2001,"GUY",0,0
2002,"GUY",0,0
2003,"GUY",0,0
2004,"GUY",0,0
2005,"GUY",0,0
2006,"GUY",0,0
2007,"GUY",0,0
2008,"GUY",0,0
2009,"GUY",29,1
2010,"GUY",0,0
2011,"GUY",0,0
2012,"GUY",0,0
2013,"GUY",0,0
2014,"GUY",0,0
2015,"GUY",0,0
2016,"GUY",0,0
2017,"GUY",0,0
2018,"GUY",0,0
2019,"GUY",0,0
2000,"HND",9,0
2001,"HND",6,0
2002,"HND",0,0
2003,"HND",1,0
2004,"HND",47,1
2005,"HND",30,1
2006,"HND",0,0
2007,"HND",0,0
2008,"HND",0,0
2009,"HND",18,0
2010,"HND",0,0
2011,"HND",58,1
2012,"HND",18,0
2013,"HND",18,0
2014,"HND",0,0
2015,"HND",21,0
2016,"HND",0,0
2017,"HND",10,0
2018,"HND",0,0
2019,"HND",0,0
2000,"HRV",0,0
2001,"HRV",0,0
2002,"HRV",0,0
2003,"HRV",0,0
2004,"HRV",0,0
2005,"HRV",0,0
2006,"HRV",0,0
2007,"HRV",0,0
2008,"HRV",0,0
2009,"HRV",0,0
2010,"HRV",0,0
2011,"HRV",0,0
2012,"HRV",0,0
2013,"HRV",0,0
2014,"HRV",0,0
2015,"HRV",0,0
2016,"HRV",0,0
2017,"HRV",0,0
2018,"HRV",0,0
2019,"HRV",0,0
2000,"HTI",11,0
2001,"HTI",0,0
2002,"HTI",0,0
2003,"HTI",0,0
2004,"HTI",0,0
2005,"HTI",231,1
2006,"HTI",40,1
2007,"HTI",0,0
2008,"HTI",0,0
2009,"HTI",0,0
2010,"HTI",0,0
2011,"HTI",0,0
2012,"HTI",0,0
2013,"HTI",0,0
2014,"HTI",0,0
2015,"HTI",0,0
2016,"HTI",0,0
2017,"HTI",0,0
2018,"HTI",8,0
2019,"HTI",71,1
2000,"HUN",0,0
2001,"HUN",0,0
2002,"HUN",0,0
2003,"HUN",0,0
2004,"HUN",0,0
2005,"HUN",0,0
2006,"HUN",0,0
2007,"HUN",0,0
2008,"HUN",0,0
2009,"HUN",0,0
2010,"HUN",0,0
2011,"HUN",0,0
2012,"HUN",0,0
2013,"HUN",0,0
2014,"HUN",0,0
2015,"HUN",0,0
2016,"HUN",0,0
2017,"HUN",0,0
2018,"HUN",0,0
2019,"HUN",0,0
2000,"IDN",1805,1
2001,"IDN",917,1
2002,"IDN",834,1
2003,"IDN",762,1
2004,"IDN",1068,1
2005,"IDN",1082,1
2006,"IDN",242,1
2007,"IDN",13,0
2008,"IDN",2,0
2009,"IDN",6,0
2010,"IDN",0,0
2011,"IDN",0,0
2012,"IDN",9,0
2013,"IDN",1,0
2014,"IDN",20,0
2015,"IDN",12,0
2016,"IDN",4,0
2017,"IDN",0,0
2018,"IDN",2,0
2019,"IDN",32,1
2000,"IND",2563,1
2001,"IND",4093,1
2002,"IND",1730,1
2003,"IND",3035,1
2004,"IND",2426,1
2005,"IND",1642,1
2006,"IND",2015,1
2007,"IND",2155,1
2008,"IND",1720,1
2009,"IND",1856,1
2010,"IND",1621,1
2011,"IND",1633,1
2012,"IND",798,1
2013,"IND",801,1
2014,"IND",702,1
2015,"IND",734,1
2016,"IND",622,1
2017,"IND",761,1
2018,"IND",847,1
2019,"IND",950,1
2000,"IRL",0,0
2001,"IRL",0,0
2002,"IRL",0,0
2003,"IRL",0,0
2004,"IRL",0,0
2005,"IRL",0,0
2006,"IRL",0,0
2007,"IRL",0,0
2008,"IRL",0,0
2009,"IRL",0,0
2010,"IRL",0,0
2011,"IRL",0,0
2012,"IRL",0,0
2013,"IRL",0,0
2014,"IRL",0,0
2015,"IRL",0,0
2016,"IRL",0,0
2017,"IRL",0,0
2018,"IRL",0,0
2019,"IRL",0,0
2000,"IRN",19,0
2001,"IRN",41,1
2002,"IRN",112,1
2003,"IRN",0,0
2004,"IRN",2,0
2005,"IRN",0,0
2006,"IRN",53,1
2007,"IRN",61,1
2008,"IRN",86,1
2009,"IRN",117,1
2010,"IRN",167,1
2011,"IRN",101,1
2012,"IRN",220,1
2013,"IRN",17,0
2014,"IRN",11,0
2015,"IRN",5,0
2016,"IRN",25,1
2017,"IRN",69,1
2018,"IRN",58,1
2019,"IRN",92,1
2000,"IRQ",308,1
2001,"IRQ",193,1
2002,"IRQ",56,1
2003,"IRQ",111,1
2004,"IRQ",8021,1
2005,"IRQ",4366,1
2006,"IRQ",3521,1
2007,"IRQ",4598,1
2008,"IRQ",4489,1
2009,"IRQ",2765,1
2010,"IRQ",1720,1
2011,"IRQ",1857,1
2012,"IRQ",1399,1
2013,"IRQ",1407,1
2014,"IRQ",4010,1
2015,"IRQ",16437,1
2016,"IRQ",11303,1
2017,"IRQ",12025,1
2018,"IRQ",11400,1
2019,"IRQ",1443,1
2000,"ISL",0,0
2001,"ISL",0,0
2002,"ISL",0,0
2003,"ISL",0,0
2004,"ISL",0,0
2005,"ISL",0,0
2006,"ISL",0,0
2007,"ISL",0,0
2008,"ISL",0,0
2009,"ISL",0,0
2010,"ISL",0,0
2011,"ISL",0,0
2012,"ISL",0,0
2013,"ISL",0,0
2014,"ISL",0,0
2015,"ISL",0,0
2016,"ISL",0,0
2017,"ISL",0,0
2018,"ISL",0,0
2019,"ISL",0,0
2000,"ITA",0,0
2001,"ITA",0,0
2002,"ITA",0,0
2003,"ITA",0,0
2004,"ITA",0,0
2005,"ITA",0,0
2006,"ITA",0,0
2007,"ITA",0,0
2008,"ITA",0,0
2009,"ITA",0,0
2010,"ITA",0,0
2011,"ITA",0,0
2012,"ITA",0,0
2013,"ITA",0,0
2014,"ITA",0,0
2015,"ITA",0,0
2016,"ITA",0,0
2017,"ITA",0,0
2018,"ITA",0,0
2019,"ITA",0,0
2000,"JAM",0,0
2001,"JAM",0,0
2002,"JAM",116,1
2003,"JAM",15,0
2004,"JAM",7,0
2005,"JAM",0,0
2006,"JAM",0,0
2007,"JAM",0,0
2008,"JAM",0,0
2009,"JAM",0,0
2010,"JAM",0,0
2011,"JAM",0,0
2012,"JAM",0,0
2013,"JAM",0,0
2014,"JAM",0,0
2015,"JAM",0,0
2016,"JAM",0,0
2017,"JAM",0,0
2018,"JAM",0,0
2019,"JAM",0,0
2000,"JOR",0,0
2001,"JOR",0,0
2002,"JOR",0,0
2003,"JOR",0,0
2004,"JOR",0,0
2005,"JOR",0,0
2006,"JOR",59,1
2007,"JOR",0,0
2008,"JOR",0,0
2009,"JOR",0,0
2010,"JOR",0,0
2011,"JOR",0,0
2012,"JOR",0,0
2013,"JOR",0,0
2014,"JOR",0,0
2015,"JOR",0,0
2016,"JOR",1,0
2017,"JOR",37,1
2018,"JOR",0,0
2019,"JOR",0,0
2000,"JPN",0,0
2001,"JPN",0,0
2002,"JPN",0,0
2003,"JPN",0,0
2004,"JPN",0,0
2005,"JPN",0,0
2006,"JPN",0,0
2007,"JPN",0,0
2008,"JPN",0,0
2009,"JPN",0,0
2010,"JPN",0,0
2011,"JPN",0,0
2012,"JPN",0,0
2013,"JPN",0,0
2014,"JPN",0,0
2015,"JPN",0,0
2016,"JPN",0,0
2017,"JPN",0,0
2018,"JPN",0,0
2019,"JPN",0,0
2000,"KAZ",0,0
2001,"KAZ",0,0
2002,"KAZ",0,0
2003,"KAZ",0,0
2004,"KAZ",0,0
2005,"KAZ",0,0
2006,"KAZ",0,0
2007,"KAZ",0,0
2008,"KAZ",0,0
2009,"KAZ",0,0
2010,"KAZ",0,0
2011,"KAZ",0,0
2012,"KAZ",0,0
2013,"KAZ",0,0
2014,"KAZ",0,0
2015,"KAZ",0,0
2016,"KAZ",0,0
2017,"KAZ",0,0
2018,"KAZ",0,0
2019,"KAZ",0,0
2000,"KEN",229,1
2001,"KEN",254,1
2002,"KEN",192,1
2003,"KEN",45,1
2004,"KEN",7,0
2005,"KEN",20,0
2006,"KEN",215,1
2007,"KEN",219,1
2008,"KEN",200,1
2009,"KEN",783,1
2010,"KEN",170,1
2011,"KEN",87,1
2012,"KEN",144,1
2013,"KEN",309,1
2014,"KEN",267,1
2015,"KEN",344,1
2016,"KEN",389,1
2017,"KEN",130,1
2018,"KEN",228,1
2019,"KEN",164,1
2000,"KGZ",14,0
2001,"KGZ",174,1
2002,"KGZ",0,0
2003,"KGZ",0,0
2004,"KGZ",0,0
2005,"KGZ",0,0
2006,"KGZ",0,0
2007,"KGZ",6,0
2008,"KGZ",0,0
2009,"KGZ",0,0
2010,"KGZ",0,0
2011,"KGZ",44,1
2012,"KGZ",0,0
2013,"KGZ",0,0
2014,"KGZ",0,0
2015,"KGZ",0,0
2016,"KGZ",1,0
2017,"KGZ",0,0
2018,"KGZ",0,0
2019,"KGZ",0,0
2000,"KHM",0,0
2001,"KHM",4,0
2002,"KHM",0,0
2003,"KHM",0,0
2004,"KHM",1,0
2005,"KHM",0,0
2006,"KHM",0,0
2007,"KHM",0,0
2008,"KHM",2,0
2009,"KHM",2,0
2010,"KHM",2,0
2011,"KHM",0,0
2012,"KHM",10,0
2013,"KHM",1,0
2014,"KHM",0,0
2015,"KHM",0,0
2016,"KHM",0,0
2017,"KHM",0,0
2018,"KHM",0,0
2019,"KHM",0,0
2000,"KIR",0,0
2001,"KIR",0,0
2002,"KIR",0,0
2003,"KIR",0,0
2004,"KIR",0,0
2005,"KIR",0,0
2006,"KIR",0,0
2007,"KIR",0,0
2008,"KIR",0,0
2009,"KIR",0,0
2010,"KIR",0,0
2011,"KIR",0,0
2012,"KIR",0,0
2013,"KIR",0,0
2014,"KIR",0,0
2015,"KIR",0,0
2016,"KIR",0,0
2017,"KIR",0,0
2018,"KIR",0,0
2019,"KIR",0,0
2000,"KOR",0,0
2001,"KOR",0,0
2002,"KOR",0,0
2003,"KOR",0,0
2004,"KOR",0,0
2005,"KOR",0,0
2006,"KOR",0,0
2007,"KOR",0,0
2008,"KOR",0,0
2009,"KOR",0,0
2010,"KOR",0,0
2011,"KOR",0,0
2012,"KOR",0,0
2013,"KOR",0,0
2014,"KOR",0,0
2015,"KOR",0,0
2016,"KOR",0,0
2017,"KOR",0,0
2018,"KOR",0,0
2019,"KOR",0,0
2000,"KWT",0,0
2001,"KWT",0,0
2002,"KWT",0,0
2003,"KWT",0,0
2004,"KWT",0,0
2005,"KWT",0,0
2006,"KWT",0,0
2007,"KWT",0,0
2008,"KWT",0,0
2009,"KWT",0,0
2010,"KWT",0,0
2011,"KWT",0,0
2012,"KWT",0,0
2013,"KWT",0,0
2014,"KWT",0,0
2015,"KWT",0,0
2016,"KWT",26,1
2017,"KWT",0,0
2018,"KWT",0,0
2019,"KWT",0,0
2000,"LAO",2,0
2001,"LAO",7,0
2002,"LAO",0,0
2003,"LAO",4,0
2004,"LAO",5,0
2005,"LAO",4,0
2006,"LAO",0,0
2007,"LAO",73,1
2008,"LAO",0,0
2009,"LAO",0,0
2010,"LAO",0,0
2011,"LAO",0,0
2012,"LAO",0,0
2013,"LAO",0,0
2014,"LAO",0,0
2015,"LAO",0,0
2016,"LAO",0,0
2017,"LAO",0,0
2018,"LAO",0,0
2019,"LAO",0,0
2000,"LBN",74,1
2001,"LBN",56,1
2002,"LBN",4,0
2003,"LBN",0,0
2004,"LBN",1,0
2005,"LBN",0,0
2006,"LBN",3,0
2007,"LBN",747,1
2008,"LBN",0,0
2009,"LBN",38,1
2010,"LBN",0,0
2011,"LBN",0,0
2012,"LBN",4,0
2013,"LBN",53,1
2014,"LBN",179,1
2015,"LBN",228,1
2016,"LBN",200,1
2017,"LBN",56,1
2018,"LBN",297,1
2019,"LBN",2,0
2000,"LBR",70,1
2001,"LBR",101,1
2002,"LBR",481,1
2003,"LBR",2259,1
2004,"LBR",3281,1
2005,"LBR",0,0
2006,"LBR",0,0
2007,"LBR",0,0
2008,"LBR",0,0
2009,"LBR",0,0
2010,"LBR",0,0
2011,"LBR",0,0
2012,"LBR",0,0
2013,"LBR",0,0
2014,"LBR",0,0
2015,"LBR",0,0
2016,"LBR",0,0
2017,"LBR",0,0
2018,"LBR",0,0
2019,"LBR",0,0
2000,"LBY",0,0
2001,"LBY",0,0
2002,"LBY",0,0
2003,"LBY",0,0
2004,"LBY",0,0
2005,"LBY",0,0
2006,"LBY",0,0
2007,"LBY",0,0
2008,"LBY",0,0
2009,"LBY",6,0
2010,"LBY",0,0
2011,"LBY",0,0
2012,"LBY",3914,1
2013,"LBY",378,1
2014,"LBY",36,1
2015,"LBY",1455,1
2016,"LBY",1594,1
2017,"LBY",2349,1
2018,"LBY",1096,1
2019,"LBY",670,1
2000,"LCA",0,0
2001,"LCA",0,0
2002,"LCA",0,0
2003,"LCA",0,0
2004,"LCA",0,0
2005,"LCA",0,0
2006,"LCA",0,0
2007,"LCA",0,0
2008,"LCA",0,0
2009,"LCA",0,0
2010,"LCA",0,0
2011,"LCA",0,0
2012,"LCA",0,0
2013,"LCA",0,0
2014,"LCA",0,0
2015,"LCA",0,0
2016,"LCA",0,0
2017,"LCA",0,0
2018,"LCA",0,0
2019,"LCA",0,0
2000,"LKA",1948,1
2001,"LKA",2569,1
2002,"LKA",1162,1
2003,"LKA",17,0
2004,"LKA",33,1
2005,"LKA",84,1
2006,"LKA",130,1
2007,"LKA",2173,1
2008,"LKA",2564,1
2009,"LKA",8453,1
2010,"LKA",10418,1
2011,"LKA",0,0
2012,"LKA",2,0
2013,"LKA",0,0
2014,"LKA",5,0
2015,"LKA",0,0
2016,"LKA",0,0
2017,"LKA",0,0
2018,"LKA",1,0
2019,"LKA",0,0
2000,"LSO",0,0
2001,"LSO",0,0
2002,"LSO",0,0
2003,"LSO",0,0
2004,"LSO",0,0
2005,"LSO",0,0
2006,"LSO",0,0
2007,"LSO",0,0
2008,"LSO",0,0
2009,"LSO",0,0
2010,"LSO",0,0
2011,"LSO",0,0
2012,"LSO",0,0
2013,"LSO",0,0
2014,"LSO",0,0
2015,"LSO",0,0
2016,"LSO",0,0
2017,"LSO",0,0
2018,"LSO",0,0
2019,"LSO",0,0
2000,"LTU",0,0
2001,"LTU",0,0
2002,"LTU",0,0
2003,"LTU",0,0
2004,"LTU",0,0
2005,"LTU",0,0
2006,"LTU",0,0
2007,"LTU",0,0
2008,"LTU",0,0
2009,"LTU",0,0
2010,"LTU",0,0
2011,"LTU",0,0
2012,"LTU",0,0
2013,"LTU",0,0
2014,"LTU",0,0
2015,"LTU",0,0
2016,"LTU",0,0
2017,"LTU",0,0
2018,"LTU",0,0
2019,"LTU",0,0
2000,"LUX",0,0
2001,"LUX",0,0
2002,"LUX",0,0
2003,"LUX",0,0
2004,"LUX",0,0
2005,"LUX",0,0
2006,"LUX",0,0
2007,"LUX",0,0
2008,"LUX",0,0
2009,"LUX",0,0
2010,"LUX",0,0
2011,"LUX",0,0
2012,"LUX",0,0
2013,"LUX",0,0
2014,"LUX",0,0
2015,"LUX",0,0
2016,"LUX",0,0
2017,"LUX",0,0
2018,"LUX",0,0
2019,"LUX",0,0
2000,"LVA",0,0
2001,"LVA",0,0
2002,"LVA",0,0
2003,"LVA",0,0
2004,"LVA",0,0
2005,"LVA",0,0
2006,"LVA",0,0
2007,"LVA",0,0
2008,"LVA",0,0
2009,"LVA",0,0
2010,"LVA",0,0
2011,"LVA",0,0
2012,"LVA",0,0
2013,"LVA",0,0
2014,"LVA",0,0
2015,"LVA",0,0
2016,"LVA",0,0
2017,"LVA",0,0
2018,"LVA",0,0
2019,"LVA",0,0
2000,"MAR",0,0
2001,"MAR",0,0
2002,"MAR",0,0
2003,"MAR",0,0
2004,"MAR",34,1
2005,"MAR",0,0
2006,"MAR",0,0
2007,"MAR",0,0
2008,"MAR",0,0
2009,"MAR",0,0
2010,"MAR",0,0
2011,"MAR",0,0
2012,"MAR",0,0
2013,"MAR",0,0
2014,"MAR",0,0
2015,"MAR",0,0
2016,"MAR",0,0
2017,"MAR",0,0
2018,"MAR",0,0
2019,"MAR",0,0
2000,"MDA",0,0
2001,"MDA",0,0
2002,"MDA",0,0
2003,"MDA",0,0
2004,"MDA",0,0
2005,"MDA",0,0
2006,"MDA",0,0
2007,"MDA",0,0
2008,"MDA",0,0
2009,"MDA",0,0
2010,"MDA",0,0
2011,"MDA",0,0
2012,"MDA",0,0
2013,"MDA",0,0
2014,"MDA",0,0
2015,"MDA",0,0
2016,"MDA",0,0
2017,"MDA",0,0
2018,"MDA",0,0
2019,"MDA",0,0
2000,"MDG",0,0
2001,"MDG",0,0
2002,"MDG",0,0
2003,"MDG",79,1
2004,"MDG",0,0
2005,"MDG",0,0
2006,"MDG",0,0
2007,"MDG",0,0
2008,"MDG",0,0
2009,"MDG",0,0
2010,"MDG",113,1
2011,"MDG",0,0
2012,"MDG",0,0
2013,"MDG",15,0
2014,"MDG",0,0
2015,"MDG",0,0
2016,"MDG",0,0
2017,"MDG",0,0
2018,"MDG",1,0
2019,"MDG",0,0
2000,"MDV",0,0
2001,"MDV",0,0
2002,"MDV",0,0
2003,"MDV",0,0
2004,"MDV",0,0
2005,"MDV",0,0
2006,"MDV",0,0
2007,"MDV",0,0
2008,"MDV",0,0
2009,"MDV",0,0
2010,"MDV",0,0
2011,"MDV",0,0
2012,"MDV",0,0
2013,"MDV",0,0
2014,"MDV",0,0
2015,"MDV",0,0
2016,"MDV",0,0
2017,"MDV",0,0
2018,"MDV",0,0
2019,"MDV",0,0
2000,"MEX",0,0
2001,"MEX",0,0
2002,"MEX",0,0
2003,"MEX",26,1
2004,"MEX",0,0
2005,"MEX",220,1
2006,"MEX",204,1
2007,"MEX",669,1
2008,"MEX",1943,1
2009,"MEX",2188,1
2010,"MEX",3598,1
2011,"MEX",3582,1
2012,"MEX",2893,1
2013,"MEX",1699,1
2014,"MEX",776,1
2015,"MEX",1646,1
2016,"MEX",1654,1
2017,"MEX",1320,1
2018,"MEX",1465,1
2019,"MEX",8803,1
2000,"MHL",0,0
2001,"MHL",0,0
2002,"MHL",0,0
2003,"MHL",0,0
2004,"MHL",0,0
2005,"MHL",0,0
2006,"MHL",0,0
2007,"MHL",0,0
2008,"MHL",0,0
2009,"MHL",0,0
2010,"MHL",0,0
2011,"MHL",0,0
2012,"MHL",0,0
2013,"MHL",0,0
2014,"MHL",0,0
2015,"MHL",0,0
2016,"MHL",0,0
2017,"MHL",0,0
2018,"MHL",0,0
2019,"MHL",0,0
2000,"MKD",6,0
2001,"MKD",3,0
2002,"MKD",72,1
2003,"MKD",0,0
2004,"MKD",0,0
2005,"MKD",0,0
2006,"MKD",0,0
2007,"MKD",0,0
2008,"MKD",0,0
2009,"MKD",0,0
2010,"MKD",0,0
2011,"MKD",0,0
2012,"MKD",0,0
2013,"MKD",0,0
2014,"MKD",0,0
2015,"MKD",0,0
2016,"MKD",0,0
2017,"MKD",0,0
2018,"MKD",0,0
2019,"MKD",0,0
2000,"MLI",59,1
2001,"MLI",0,0
2002,"MLI",0,0
2003,"MLI",5,0
2004,"MLI",0,0
2005,"MLI",20,0
2006,"MLI",12,0
2007,"MLI",0,0
2008,"MLI",39,1
2009,"MLI",113,1
2010,"MLI",127,1
2011,"MLI",28,1
2012,"MLI",23,0
2013,"MLI",359,1
2014,"MLI",881,1
2015,"MLI",291,1
2016,"MLI",256,1
2017,"MLI",182,1
2018,"MLI",605,1
2019,"MLI",1281,1
2000,"MLT",0,0
2001,"MLT",0,0
2002,"MLT",0,0
2003,"MLT",0,0
2004,"MLT",0,0
2005,"MLT",0,0
2006,"MLT",0,0
2007,"MLT",0,0
2008,"MLT",0,0
2009,"MLT",0,0
2010,"MLT",0,0
2011,"MLT",0,0
2012,"MLT",0,0
2013,"MLT",0,0
2014,"MLT",0,0
2015,"MLT",0,0
2016,"MLT",0,0
2017,"MLT",0,0
2018,"MLT",0,0
2019,"MLT",0,0
2000,"MMR",369,1
2001,"MMR",748,1
2002,"MMR",385,1
2003,"MMR",543,1
2004,"MMR",272,1
2005,"MMR",177,1
2006,"MMR",447,1
2007,"MMR",452,1
2008,"MMR",700,1
2009,"MMR",102,1
2010,"MMR",225,1
2011,"MMR",185,1
2012,"MMR",810,1
2013,"MMR",971,1
2014,"MMR",358,1
2015,"MMR",256,1
2016,"MMR",705,1
2017,"MMR",183,1
2018,"MMR",2395,1
2019,"MMR",122,1
2000,"MNE",0,0
2001,"MNE",0,0
2002,"MNE",0,0
2003,"MNE",0,0
2004,"MNE",0,0
2005,"MNE",0,0
2006,"MNE",0,0
2007,"MNE",0,0
2008,"MNE",0,0
2009,"MNE",0,0
2010,"MNE",0,0
2011,"MNE",0,0
2012,"MNE",0,0
2013,"MNE",0,0
2014,"MNE",0,0
2015,"MNE",0,0
2016,"MNE",0,0
2017,"MNE",0,0
2018,"MNE",0,0
2019,"MNE",0,0
2000,"MNG",0,0
2001,"MNG",0,0
2002,"MNG",0,0
2003,"MNG",0,0
2004,"MNG",0,0
2005,"MNG",0,0
2006,"MNG",0,0
2007,"MNG",0,0
2008,"MNG",0,0
2009,"MNG",0,0
2010,"MNG",0,0
2011,"MNG",0,0
2012,"MNG",0,0
2013,"MNG",0,0
2014,"MNG",0,0
2015,"MNG",0,0
2016,"MNG",0,0
2017,"MNG",0,0
2018,"MNG",0,0
2019,"MNG",0,0
2000,"MOZ",0,0
2001,"MOZ",0,0
2002,"MOZ",0,0
2003,"MOZ",0,0
2004,"MOZ",0,0
2005,"MOZ",1,0
2006,"MOZ",13,0
2007,"MOZ",0,0
2008,"MOZ",0,0
2009,"MOZ",0,0
2010,"MOZ",0,0
2011,"MOZ",7,0
2012,"MOZ",0,0
2013,"MOZ",2,0
2014,"MOZ",45,1
2015,"MOZ",30,1
2016,"MOZ",3,0
2017,"MOZ",68,1
2018,"MOZ",3,0
2019,"MOZ",173,1
2000,"MRT",0,0
